"director_id","movie_id"
"6290","3548"
"6293","1962"
"6293","1974"
"6293","1994"
"6293","2008"
"6293","2021"
"6324","1633"
"6343","10012"
"6358","5395"
"6358","7060"
"6358","7820"
"6358","7876"
"6360","10081"
"6370","6078"
"6391","8696"
"6409","499"
"6423","69"
"6423","6926"
"6432","5252"
"6477","8931"
"6539","5622"
"6552","625"
"6558","4513"
"6572","10149"
"6608","1617"
"6609","7205"
"6625","7597"
"6644","5862"
"6672","3054"
"6687","6392"
"6692","2601"
"6692","5510"
"6692","8450"
"6705","3414"
"6721","3236"
"6721","3237"
"6721","10212"
"6722","9975"
"6762","3010"
"6773","7087"
"6796","2252"
"6822","9818"
"6834","8916"
"6852","3267"
"6860","8730"
"6862","1366"
"6874","5551"
"6877","1939"
"6895","1847"
"6921","5401"
"6930","5548"
"6940","1380"
"6967","173"
"6976","6399"
"7009","4832"
"7031","4461"
"7038","10032"
"7040","4189"
"7040","4350"
"7049","4254"
"7058","4474"
"7058","9318"
"7068","5618"
"7068","7224"
"7075","4070"
"7075","4342"
"7082","4179"
"7086","4288"
"7090","141"
"7090","4153"
"7090","4417"
"7090","4423"
"7090","4872"
"7091","4068"
"7091","9907"
"7098","4328"
"7098","7361"
"7105","4438"
"7105","4477"
"7107","4846"
"7118","8052"
"7118","9225"
"7125","4080"
"7125","4146"
"7127","4172"
"7136","4137"
"7155","5373"
"7158","5910"
"7218","6182"
"7218","6610"
"7218","10354"
"7248","4026"
"7264","584"
"7264","1834"
"7264","10335"
"7268","564"
"7289","9948"
"7304","1508"
"7323","8439"
"7324","10534"
"7335","2213"
"7347","2304"
"7347","9816"
"7371","4210"
"7372","3580"
"7372","6131"
"7377","4369"
"7382","4057"
"7382","4065"
"7420","2252"
"7473","2450"
"7475","6988"
"7490","40"
"7501","2248"
"7511","8616"
"7517","6982"
"7519","6069"
"7550","2319"
"7554","1425"
"7588","3231"
"7618","7106"
"7635","3385"
"7636","8990"
"7647","7119"
"7647","7488"
"7650","5503"
"7661","6336"
"7700","9364"
"7733","10463"
"7735","5107"
"7736","1665"
"7754","8633"
"7764","842"
"7764","8846"
"7765","8846"
"7791","1438"
"7792","1335"
"7792","10193"
"7801","9110"
"7812","10232"
"7823","2073"
"7823","7212"
"7829","5119"
"7839","7381"
"7841","160"
"7841","5900"
"7876","4306"
"7881","7326"
"7881","7366"
"7889","10151"
"7893","382"
"7896","10553"
"7911","3422"
"7912","6187"
"7914","6187"
"7919","7669"
"7919","7670"
"7919","7671"
"7967","7660"
"7984","7460"
"7987","1828"
"7994","490"
"7994","6477"
"8020","3183"
"8023","10536"
"8043","8268"
"8071","7249"
"8099","10419"
"8111","822"
"8112","4798"
"8116","402"
"8116","459"
"8116","463"
"8116","2676"
"8116","4796"
"8119","7475"
"8122","10359"
"8157","5841"
"8190","9530"
"8193","1986"
"8205","6067"
"8211","3125"
"8212","1507"
"8217","7446"
"8217","7473"
"8224","1206"
"8228","3419"
"8228","6673"
"8230","4158"
"8232","7896"
"8239","5366"
"8248","3234"
"8248","3237"
"8255","3009"
"8267","8085"
"8286","7683"
"8292","8478"
"8319","8264"
"8319","8265"
"8325","6697"
"8328","10054"
"8357","1808"
"8358","3198"
"8360","351"
"8387","1383"
"8427","3472"
"8427","6298"
"8427","7761"
"8427","10058"
"8437","6825"
"8451","6680"
"8457","7052"
"8460","3330"
"8479","2099"
"8483","5810"
"8487","6084"
"8499","175"
"8500","175"
"8521","50"
"8521","5221"
"8521","7182"
"8521","9137"
"8530","10049"
"8542","495"
"8542","1863"
"8542","9946"
"8547","5758"
"8556","8966"
"8612","10204"
"8647","7370"
"8680","7564"
"8687","2495"
"8691","7967"
"8691","8173"
"8702","3523"
"8702","5098"
"8714","4859"
"8718","4881"
"8718","9858"
"8720","7639"
"8722","4883"
"8727","4310"
"8727","4436"
"8739","9467"
"8756","1992"
"8759","538"
"8788","10370"
"8791","2887"
"8807","1885"
"8807","1886"
"8842","9983"
"8860","1473"
"8860","1857"
"8861","4250"
"8864","2252"
"8869","10549"
"8887","367"
"8911","2968"
"8951","8921"
"8963","1096"
"8965","5311"
"8973","1031"
"8977","5469"
"8977","7441"
"8977","8850"
"8996","77"
"8996","220"
"8996","5903"
"8996","8821"
"8996","8822"
"8996","8823"
"8996","8824"
