"actor_id","movie_id","role"
"4265","10002",""
"4265","10120",""
"4265","10466",""
"4271","1844","Rajguru"
"4284","9280","Joe"
"4284","9587","Kapone"
"4286","4464",""
"4293","431",""
"4295","8540",""
"4315","6151","Mr. Hopper"
"4315","10142","Warden Johnson"
"4325","1305","Vincent Dianni"
"4325","1524","Dosmo Pizzo"
"4325","2027","Frank Pesce, Sr."
"4340","2027","Jimmy Vitello"
"4360","7376","Maolajuding"
"4364","1757",""
"4366","8763","Jiro"
"4372","866","Himself"
"4372","2274","Himself - Musical Guest"
"4372","7591","Himself"
"4379","3055","Himself"
"4416","6408","Michel"
"4421","2154",""
"4421","5477","Le chauffeur"
"4421","5535","Joueur de belote"
"4421","10293",""
"4435","5055","Peter Galt, Foreign Office"
"4448","6802","Second Immigration Officer"
"4464","5058",""
"4464","5490","John Andrews"
"4487","8362","Member of the Tom Jones Band"
"4494","4694","Derrick Coles"
"4536","6697","(segment ""Le cimetière des él"
"4544","1953","Himself"
"4545","6825","Bandmember"
"4548","5522","Eagle Eye"
"4548","5776","Charles Ryder"
"4552","9031",""
"4576","8043","Reporter/Neighbor"
"4579","184","Maliq"
"4593","73","Detective #1"
"4613","1970",""
"4613","4081",""
"4613","4084","Kundanlal/Sher Singh"
"4613","4137",""
"4613","4174",""
"4613","4198",""
"4613","4246",""
"4613","4406",""
"4613","4451","Uncle (underworld don)"
"4616","10548","Barrito"
"4624","3197","Lang professzor"
"4624","10401","Prof. Tamás Koltay"
"4641","5007","Pupil in front of school"
"4652","949",""
"4652","1160","Yasu Sasaki"
"4670","4028",""
"4671","4725","Mahmut Sevket Pasa"
"4671","6108","Müslim"
"4696","7806","Owen Gackstetter"
"4704","4938",""
"4712","5695",""
"4712","8909",""
"4728","657","Himself"
"4739","966","Steve"
"4772","4521",""
"4782","995",""
"4789","10535","Cub scout"
"4797","3715","Himself"
"4802","5186","Roller man"
"4809","9433","Harukiya Bartender"
"4824","400",""
"4824","9089","Romeo Cortez"
"4833","2855","Jake"
"4840","1646","Cabe Attucks"
"4840","5574","Hitu"
"4845","9883","Travis' man"
"4846","7003","Chief Executioner's Aide"
"4871","2178","Gas Pump Attendant"
"4882","117","Himself"
"4882","118","Himself"
