"actor_id","movie_id","role"
"8730","8657","Employment Agent"
"8750","10501",""
"8799","1712","Vegan Night Club Dancer"
"8815","2602","Embarazado"
"8819","8529",""
"8819","8573",""
"8819","10248",""
"8820","10233",""
"8824","9726","Padre"
"8827","10537","Himself"
"8844","2416",""
"8844","5743",""
"8847","3502","Él mismo"
"8847","4929","Eduardo"
"8860","7173","Karl Andrews"
"8862","8468",""
"8862","10030","Federico"
"8864","6562",""
"8873","1487","Himself"
"8873","2040","Himself"
"8873","2232","Richard"
"8873","2394","Himself"
"8873","2626","Himself"
"8874","5112",""
"8880","1506","El"
"8883","7189",""
"8895","1017",""
"8895","3326",""
"8895","3439","Benito"
"8895","5272","Don Pío Coronado"
"8895","7250",""
"8895","9706",""
"8905","3522",""
"8905","5744",""
"8905","8276",""
"8906","10288",""
"8922","3046","Memorial Tribute"
"8932","8479","Siriano"
"8935","1463","Himself (florida marlins left"
"8935","1747","Himself (NL Outfielder - Chic"
"8949","1695",""
"8949","8712",""
"8949","10522","The slave merchant"
"8950","5698",""
"8951","5696",""
"8960","7099","Horse Spy #2"
"8963","1828","Schultz"
"8963","4626","Joe, Reporter"
"8963","6939","Police officer"
"8963","7512","Blair, a Hired Thug"
"8963","7961","The Kid, a Fighter"
"8963","9022","Corporal, demolition squad"
"8986","1841","Himself"
"8986","1927",""
"9000","7412","Dr. Hulst"
"9017","3453",""
"9027","7460","Lacadé"
"9027","7463","Léon Besnard"
"9033","7094","Deputy Lawson"
"9039","6006",""
"9039","8281",""
"9070","7882",""
"9083","7018","Johnny"
"9084","7018","Gang Member"
"9111","1688","Házmester"
"9113","5451",""
"9113","9754",""
"9126","8562","Hilario"
"9126","10485","El Ángel"
"9129","7500","Jock #1"
"9130","6674",""
"9132","3964",""
"9132","6739","Papagallo #1"
"9132","8255",""
"9136","9353","Dancer"
"9149","5934",""
"9160","8979",""
"9171","4423","Arnie Campbell"
"9171","6107","Mark Sahib"
"9171","7361","Dr. Freddie"
"9175","3476","Eduardo"
"9176","3439","Mike"
"9176","3568",""
"9176","4525","Himself"
"9176","6497",""
"9200","6394","Edo"
"9203","8021","Paramilitary #1"
"9216","9635","Nono Spartaco"
"9246","968","Coach Gilmore"
"9267","2909","Himself"
"9267","3046","Himself"
"9267","3899","Himself"
"9297","1624","Himself"
"9309","9736",""
"9318","4627","Policeman"
"9320","2471","Policeman"
"9323","606","Larry"
"9346","8910","Zihni"
"9364","9076","Mingori Team"
"9370","4184","Pappy"
"9370","4489","Velu Mooppan"
"9373","3081","Sedgwick"
"9375","1027","Anton"
"9386","9665",""
"9391","1034","Fernando"
"9411","9730",""
"9411","9951",""
"9413","3048","Tim Gonzalez"
"9424","1337","Scooby"
"9429","10223",""
"9439","9665",""
"9443","4514",""
"9452","2173","Bathes"
"9477","1712","Vegan Night Club Dancer"
"9480","396","Jinetero"
"9508","3569","Narrator"
"9513","2602","Enfermero"
"9541","6629",""
"9552","9464",""
"9552","9878",""
"9566","9113","Psycho Rocker"
"9597","8480",""
"9610","10196",""
"9615","9005","Giant"
"9640","5977","Herodes"
"9648","8819","Himself"
"9669","2250","Motorcycle Gang Member"
"9685","987","Police Inspector"
"9715","5107",""
"9717","9521","Jan in Lilltorpet"
"9732","4601",""
"9732","9251","Fettah"
"9736","5934",""
"9736","7293","Officer"
"9745","3543",""
"9749","7526",""
"9770","2581","Performer"
"9773","9324",""
"9777","1757","Kentaro Kaneko"
"9781","383",""
"9801","7681","Philippe Djerdan"
"9802","3470","Miguel"
"9811","6737",""
"9822","1455",""
"9836","8908","Récitant/Narrator"
"9840","7681","Kweku"
"9847","8888","Taizo Murayama"
"9861","6415","A drinker at bar"
"9861","7462","Fourcade"
"9866","4004",""
"9866","4557","Heiroku"
"9866","9274","Dr. Gensai"
"9880","130","Bargali"
"9893","9333",""
"9906","1392","Revolutionary"
"9927","4514",""
"9959","4564",""
"9968","394",""
"9983","10196","Chico"
"9985","9170",""
"9989","1866",""
"10017","10330","Maitre d' Du Champ"
"10041","3347",""
"10046","3149","Bourin"
"10046","5792",""
"10046","6378","Le commissaire des jeux"
"10072","3993","Marine #1"
"10108","9226","Ajit"
"10119","2890","Bob Hall of the 1961 Yankees"
"10122","7446","Le journaliste #1"
"10136","8339","Charles Sheridan"
"10153","9873","Roberto"
"10203","6674",""
"10214","2987",""
"10214","9454",""
"10222","3305","Himself"
"10226","1382","Himself"
"10226","2815","Himself - Best Supporting Act"
"10226","10348","Charlie Dwyer"
"10269","1366","Dubbing Voice"
"10269","10439","Dustin Hoffman"
"10274","1019","Prof. Nathan Rosenbluth"
"10276","1218","Victim"
